week,price,nights,month,unit,trt
36,162.40883218842,5095,9,denver,0
37,179.7448494453249,5679,9,denver,0
38,173.30737165423432,4558,9,denver,0
39,174.82820759250362,4162,9,denver,0
40,178.08430384147402,5753,9,denver,0
41,166.76188436830836,4670,10,denver,0
42,163.1215053763441,4650,10,denver,0
43,170.9983429991715,3621,10,denver,0
44,171.71068654209532,4763,10,denver,0
45,158.18362720403022,3970,11,denver,0
46,174.78379244074313,3122,11,denver,0
47,204.1564404713531,2461,11,denver,0
48,203.07360912981454,3505,11,denver,0
49,162.6966255678131,3082,12,denver,0
50,178.33187613843353,2745,12,denver,0
51,195.41353383458647,2261,12,denver,0
52,215.9009703196347,3504,12,denver,0
8,124.04857571214393,3335,2,montreal,0
9,119.38300970873786,2060,2,montreal,0
10,127.73500611995104,1634,3,montreal,0
11,134.31998548270022,8266,3,montreal,0
12,130.07816400998655,5207,3,montreal,0
13,138.60025188916876,3970,3,montreal,0
14,146.3572188719404,2819,4,montreal,0
15,148.38240673006584,5468,4,montreal,0
16,141.4218606079214,9771,4,montreal,0
17,139.8727877578177,7515,4,montreal,0
18,159.13737927057807,6937,4,montreal,0
19,168.22603289209786,4986,5,montreal,0
20,181.11407551852508,11282,5,montreal,0
21,169.38424252382518,12172,5,montreal,0
22,169.61320546737213,9072,5,montreal,0
23,295.75827541524325,8489,6,montreal,0
24,180.94661582459486,12588,6,montreal,0
25,183.23836495799114,10593,6,montreal,0
26,197.29168227800673,10676,6,montreal,0
27,199.589512815496,10222,7,montreal,0
28,206.2718869898849,11468,7,montreal,0
29,197.8746470920384,14168,7,montreal,0
30,206.0767663043478,13248,7,montreal,0
31,253.98609482325347,11938,7,montreal,0
32,221.31366179390002,11082,8,montreal,0
33,207.3067024798551,16010,8,montreal,0
34,195.2743544966945,16036,8,montreal,0
35,190.57608142493638,13755,8,montreal,0
36,167.9927447259739,8959,9,montreal,0
37,171.72904389657245,8315,9,montreal,0
38,175.84366672588382,11258,9,montreal,0
39,160.98488718603662,14094,9,montreal,0
40,158.24575103353237,10885,9,montreal,0
41,165.040424403183,9425,10,montreal,0
42,159.31686176391744,11191,10,montreal,0
43,152.4039073148569,11005,10,montreal,0
44,148.59989450085718,7583,10,montreal,0
45,150.95288617155188,5561,11,montreal,0
46,140.78844056706652,4585,11,montreal,0
47,135.02745915884603,8631,11,montreal,0
48,142.22350722815838,7955,11,montreal,0
49,137.78280121183874,4291,12,montreal,0
50,140.09379756468797,5256,12,montreal,0
51,140.44658583280153,7835,12,montreal,0
52,181.3956020030481,9186,12,montreal,0
8,199.85740514075889,3268,2,nashville,0
9,228.42257306012763,2977,2,nashville,0
10,247.13103448275862,3045,3,nashville,0
11,244.8980535541456,9299,3,nashville,0
12,243.05943595150237,7588,3,nashville,0
13,256.99350142968547,7694,3,nashville,0
14,272.327,6000,4,nashville,0
15,269.5569600499376,6408,4,nashville,0
16,249.21114115738237,9245,4,nashville,0
17,359.4673790776153,7112,4,nashville,0
18,285.0817283324886,7892,4,nashville,0
19,272.68734634851774,6915,5,nashville,0
20,284.52403143274853,10944,5,nashville,0
21,312.67657287385396,9489,5,nashville,0
22,280.60369784697724,8221,5,nashville,0
23,420.0056723851688,7228,6,nashville,0
24,258.68364184605076,11941,6,nashville,0
25,277.8711217183771,12152,6,nashville,0
26,279.3151491365777,10195,6,nashville,0
27,260.6734997709574,8737,7,nashville,0
28,288.0308696075567,10269,7,nashville,0
29,267.8389773340529,14824,7,nashville,0
30,278.0565593747374,11899,7,nashville,0
31,295.9348136076594,9818,7,nashville,0
32,300.74595964930813,9467,8,nashville,0
33,285.87764236039385,14524,8,nashville,0
34,274.63085826065696,12272,8,nashville,0
