id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7713815,Charming & Stylish Studio on Beacon Hill #2,22348222,Maverick,,Beacon Hill,42.35958,-71.06397,Entire home/apt,150,1,74,2019-08-14,2.01,54,336
7714627,Beautiful South End Penthouse!,20627610,Liri,,South End,42.34384,-71.07183,Entire home/apt,215,2,184,2019-08-07,3.81,1,141
7724412,Quiet Room w/ own Bathroom!,9303410,Tye,,Roxbury,42.33962,-71.08188,Private room,130,1,2,2015-08-29,0.04,1,0
7728499,Charming & Stylish Studio on Beacon Hill #8,22348222,Maverick,,Downtown,42.35953,-71.06249,Entire home/apt,150,1,135,2019-08-13,2.82,54,297
7728508,Sunny Studio in Back Bay by Sonder,12243051,Sonder,,Back Bay,42.3489,-71.08127,Entire home/apt,402,2,97,2019-07-26,2.02,270,19
7731797,Classic Studio in Back Bay by Sonder,12243051,Sonder,,Back Bay,42.34933,-71.08248,Entire home/apt,402,2,59,2019-07-05,1.23,270,19
7749568,Perfect Marathon Location! Back Bay,40738497,Loren,,Back Bay,42.34881,-71.08898,Entire home/apt,150,2,16,2016-09-06,0.37,1,0
7783953,Private Room Queen Anne Victorian,32304279,Charles And Grace,,Allston,42.35995,-71.12801,Private room,75,2,10,2019-07-21,0.21,2,8
7797744,Allston Close to Harvard Business E,19548932,Joe,,Allston,42.35759,-71.12855,Private room,50,1,134,2019-08-03,3.33,9,209
7809904,Amazing view near Airport/Downtown,7956208,Aida,,East Boston,42.37005,-71.0417,Entire home/apt,150,5,79,2018-08-30,1.63,2,0
7825327,Beautiful South End Townhouse,14785487,Aihua,,Roxbury,42.33713,-71.08381,Entire home/apt,350,4,24,2019-08-14,0.51,10,4
7832890,Comfy Beacon Hill Studio Great for Work Travel #7,22348222,Maverick,,Downtown,42.35942,-71.06232,Entire home/apt,150,1,141,2019-08-05,3.61,54,268
7837202,Charming & Stylish Studio on Beacon Hill #15,22348222,Maverick,,Beacon Hill,42.36099,-71.06444,Entire home/apt,150,1,72,2019-07-28,1.80,54,336
7840131,"Cozy apartment, awesome location",1555309,Mathilde,,Fenway,42.35098,-71.09751,Entire home/apt,160,5,7,2017-06-19,0.14,1,0
7840411,Cozy House in Quiet Neighborhood,41306542,Becky,,Hyde Park,42.25934,-71.11781,Entire home/apt,180,28,6,2017-07-21,0.13,2,0
7845607,Cozy Sunroom in Secluded Townhouse,38120441,Jacob,,Jamaica Plain,42.3158,-71.11696,Private room,55,1,9,2016-08-03,0.19,1,0
7853079,Open|Serene|Brownstone in Back Bay| 3BR 1BA,814298,Brent,,Back Bay,42.35062,-71.08279,Entire home/apt,568,2,75,2018-10-18,1.57,89,0
7854569,Quiet and safe,41390416,Aslihan,,West Roxbury,42.29402,-71.15136,Private room,90,1,0,,,1,0
7854872,Charming & Stylish Studio on Beacon Hill #12,22348222,Maverick,,Beacon Hill,42.35934,-71.06292,Entire home/apt,150,1,91,2019-07-27,1.97,54,328
7856208,Large bedroom in South End w/ Patio,41439483,Ira,,South End,42.34203,-71.07256,Private room,180,1,0,,,1,0
7856323,Charming Studio in Back Bay by Sonder,12243051,Sonder,,Back Bay,42.34917,-71.0819,Entire home/apt,402,2,38,2019-07-22,0.81,270,19
7868209,Beautiful Sunny Bedroom in Boston,31545543,Zack,,Allston,42.35026,-71.12703,Private room,76,1,2,2015-08-24,0.04,2,0
7871576,Big Bedroom for rent.,41486164,Joseph,,Mission Hill,42.33072,-71.10447,Private room,60,1,2,2015-08-19,0.04,1,0
7880828,"Cozy Room near Logan Airport ,T very near to Dtown",41542719,Ivan,,East Boston,42.37747,-71.03034,Private room,53,1,325,2019-08-18,6.67,5,44
7900936,Morning Glory Bed & Breakfast!,41658743,Chris,,Hyde Park,42.24201,-71.12378,Private room,75,1,113,2019-08-10,2.32,1,334
7910223,Authentic Charming home in JP (Boston) near Subway,30490577,Lori,,Jamaica Plain,42.31592,-71.09958,Entire home/apt,160,2,226,2019-08-06,4.69,3,145
7911936,"Downtown Beacon Hill, Convenient, Comfy Studio #1",22348222,Maverick,,Beacon Hill,42.36084,-71.06413,Entire home/apt,150,1,70,2019-08-12,1.49,54,319
7913309,Studio apartment conveniently located in Downtown,41726345,Mufaddal,,Downtown,42.35527,-71.06109,Entire home/apt,99,2,22,2017-08-13,0.66,1,0
7914359,Spacious Downtown Two Bedroom,20582119,Toma,,Downtown,42.3552,-71.06057,Entire home/apt,291,1,231,2019-08-11,4.81,3,1
7916575,"Centrally located Studio in Boston ,#35",22348222,Maverick,,South End,42.3453,-71.07749,Entire home/apt,150,1,84,2019-06-27,2.76,54,333
7920759,"Beacon Hill- 2br, 2 bath Personal Home",41766550,Mike,,Beacon Hill,42.35835,-71.06693,Entire home/apt,300,3,29,2019-08-04,0.77,1,50
7927765,Andrew Sq Room Close to T&Shops,18479599,Agnieszka,,Dorchester,42.32427,-71.05963,Private room,63,28,4,2017-04-01,0.10,8,353
7931331,Sonder | The Continuum | Classic 2BR + Gym,12243051,Sonder,,Allston,42.36326,-71.12984,Entire home/apt,504,2,53,2019-06-30,1.11,270,33
7933149,WB Quarters™ by STRB|Hangout|Priv. Room|Shared BA,814298,Brent,,South Boston,42.34305,-71.05567,Private room,144,2,25,2019-04-09,0.52,89,0
7934491,A Very Large Room - Beige Room,18479599,Agnieszka,,Dorchester,42.32485,-71.05936,Private room,200,28,1,2016-10-28,0.03,8,365
7939556,Andrew Sq - Quiet Yellow Room,18479599,Agnieszka,,Dorchester,42.32586,-71.05797,Private room,75,28,1,2015-10-02,0.02,8,353
7949859,A Very Large Room- Great for Couple,18479599,Agnieszka,,Dorchester,42.32456,-71.05983,Private room,65,28,6,2019-04-17,0.15,8,365
7961477,Beautiful Back Bay One Bed Best Boston Location,41998307,Chris,,Back Bay,42.35042,-71.08201,Entire home/apt,199,5,34,2019-05-29,0.77,1,4
7965521,South End 1 Bedroom PERFECTION!,22110106,Chris,,South End,42.34451,-71.0739,Entire home/apt,215,1,149,2019-08-07,3.15,2,332
7984226,North End Studio,36050005,Janna,,North End,42.36388,-71.05765,Entire home/apt,250,1,0,,,1,0
7986179,Spacious home in Jamaica Plain,20040612,Jared,,Jamaica Plain,42.32158,-71.11412,Entire home/apt,95,2,22,2018-07-22,0.56,1,0
7988755,Private Room&Bath+Breakfast/4min walk from Train,8408214,Sarah,,South Boston,42.32853,-71.05386,Private room,115,2,135,2017-08-14,2.80,1,0
8006992,"Elegant, Historic, sleek Brownstone renovation",2265368,Daniel,,South End,42.33808,-71.07509,Entire home/apt,219,5,35,2019-06-29,0.76,1,0
8014642,Nice bedroom in a shared apt.,17549955,Arnaldo,,Roxbury,42.32554,-71.09757,Private room,79,1,2,2015-09-08,0.04,1,0
8014683,One-Bed Condo (Downtown Boston),24123098,Abhishek,,Leather District,42.35177,-71.05705,Entire home/apt,179,2,2,2015-11-25,0.04,1,0
8025718,"Charming Studio in Boston Brownstone, #6",22348222,Maverick,,South End,42.34341,-71.07604,Entire home/apt,150,1,69,2019-08-08,1.45,54,325
8029788,Minutes From Fenway,42396951,Katie,,Allston,42.34775,-71.1387,Entire home/apt,200,1,1,2015-09-07,0.02,1,0
8036024,Comfortable North End Escape | Faneuil Hall,42431392,Frank,,North End,42.36346,-71.05721,Entire home/apt,280,1,299,2019-07-30,6.22,7,319
8052494,One-bedroom Apartment Beacon Hill,42525742,Brandon,,Beacon Hill,42.35833,-71.06718,Entire home/apt,143,1,8,2017-05-29,0.22,1,0
8052617,182 REVIEWS! Two Bedroom Southie Stay!,21184200,Airbnb Queen,,South Boston,42.33923,-71.04787,Entire home/apt,175,1,186,2019-08-01,3.86,29,167
8055839,Updated South Boston Condo,39621923,Kevin,,South Boston,42.33651,-71.05514,Entire home/apt,200,2,5,2015-10-12,0.10,1,0
8063815,High End 1BR Apartment in Boston's Fenway Area,30283594,Kara,,Fenway,42.34548,-71.10137,Entire home/apt,124,3,1,2016-09-19,0.03,123,132
8063870,Lux 1 Bedroom by Fenway with washer/dryer & WIFI,9419684,Mike,,Fenway,42.34538,-71.10002,Entire home/apt,213,3,3,2017-10-07,0.06,116,132
8065282,"2BR Steps to Train & Airport, Close to Downtown",16284736,Jordan,,East Boston,42.37497,-71.03337,Entire home/apt,185,1,328,2019-08-02,6.85,5,147
8067585,Friendly Resting Spot/Great Transit,27756951,Hannah & Philip,,Jamaica Plain,42.30513,-71.11423,Private room,95,3,32,2019-05-26,0.73,1,77
8081699,"Lovely Spacious Studio ""Sanctuary in the City""",42688244,Takara,,Roxbury,42.32342,-71.07822,Entire home/apt,150,3,10,2019-08-01,2.22,1,319
8081935,Lux 1-Bedroom Apartment in Boston Fenway!,30283594,Kara,,Fenway,42.3447,-71.10115,Entire home/apt,139,3,0,,,123,132
8082512,"Stylish Downtown Studio in the Boston, C.Ave# 34",22348222,Maverick,,South End,42.34468,-71.07663,Entire home/apt,150,1,53,2019-07-14,1.13,54,365
8097453,Luxury 1-Bedroom Boston Apartment in Fenway!,30283594,Kara,,Fenway,42.34387,-71.10227,Entire home/apt,141,3,1,2015-09-28,0.02,123,362
8162168,Stylish 2BR  Apt-walking distance to Fenway Park!,30283594,Kara,,Fenway,42.34472,-71.0993,Entire home/apt,175,3,9,2018-08-25,0.28,123,358
8163273,Lovely 2BR apt near Fenway Park,30283594,Kara,,Fenway,42.34476,-71.10062,Entire home/apt,189,3,3,2018-04-01,0.08,123,358
8164146,Furnished 2-BR Apartment near Boston University,30283594,Kara,,Fenway,42.3434,-71.09945,Entire home/apt,177,3,4,2019-06-02,0.43,123,127
8164953,Lux 2BR Boston Fenway Apt. - Landmark Center!,30283594,Kara,,Fenway,42.34454,-71.09931,Entire home/apt,179,3,5,2018-02-04,0.15,123,358
8165898,Luxury 2BR apt located minutes from Fenway Park!,30283594,Kara,,Fenway,42.34338,-71.10128,Entire home/apt,189,3,5,2017-04-05,0.11,123,358
8170181,Gorgeous Beacon Hill Apartment,26303242,Mark,,Beacon Hill,42.35936,-71.06842,Entire home/apt,172,2,175,2019-08-16,3.67,1,10
8189821,Extra Bedroom in Charlestown Apt,7723209,Taylor,,Charlestown,42.37588,-71.05974,Private room,200,1,2,2015-10-16,0.04,1,0
8193344,1 Bedroom ✅ Patio  ✅ Full-Kitchen (II),43217109,Javier,,South End,42.33832,-71.07659,Private room,125,1,128,2019-08-01,2.66,6,317
8200839,Boston ✅ 1 Bedroom ✅ Patio ✅ Full-Kitchen (III),43217109,Javier,,South End,42.33606,-71.07477,Private room,125,1,119,2019-08-04,2.48,6,327
8201104,Boston ✅ 3 Bedrooms ✅ Patio ✅ Full-Kitchen,43217109,Javier,,South End,42.3375,-71.07654,Entire home/apt,400,4,8,2019-05-22,0.20,6,292
8206536,"Centrally located Studio in the SouthEnd, #25",22348222,Maverick,,South End,42.34491,-71.07523,Entire home/apt,150,1,101,2019-08-15,3.47,54,323
8224214,Welcome2Boston2: Near BC/BU/Harvard,29066313,Andy,,Brighton,42.34057,-71.1513,Entire home/apt,165,3,149,2019-02-24,3.13,2,239
8226982,"Spacious, modern--right next to T",6703626,Isabel,,Jamaica Plain,42.31858,-71.10678,Private room,67,1,4,2016-06-12,0.10,1,0
8227206,Boston. Modern King Apt. Ideal spot in North End.,43384196,Alex,,North End,42.36508,-71.05561,Entire home/apt,195,2,85,2019-08-15,1.77,1,49
8231382,*** Sunny Studio *** near Airport & Train stop,23777641,Gavin,,East Boston,42.37672,-71.03655,Entire home/apt,80,31,149,2019-05-03,3.27,2,115
8252058,"Two Bedroom apartment, East Boston,",42838239,(Phone number hidden by Airbnb),,East Boston,42.37208,-71.03198,Private room,80,1,398,2019-08-13,8.29,1,273
8265182,"2 Queen Beds, Free WIFi&Parking",43544288,Susan,,West Roxbury,42.27391,-71.16762,Private room,55,1,61,2019-05-22,1.54,17,350
8271384,Bright & Open Studio by Convention Center,43613912,Drew,,South Boston Waterfront,42.34306,-71.05173,Entire home/apt,99,2,285,2019-08-01,5.95,3,172
8272350,"""The Sheridan"" JP, Boston",37835016,Erin,,Jamaica Plain,42.32004,-71.10784,Private room,99,2,2,2015-10-26,0.04,1,0
8283433,Spacious bright apt in safe convenient location!,1264857,Marie,,Jamaica Plain,42.31102,-71.11899,Entire home/apt,300,2,61,2019-08-15,1.73,1,275
8301150,"Beautiful, Spacious Apt in Allston!",39088458,Jordan,,Allston,42.34908,-71.1369,Entire home/apt,175,2,3,2015-10-12,0.06,1,0
8301926,"Gorgeous South End Apt, in the heart of Boston!",43772222,Nicole,,South End,42.34384,-71.07007,Private room,99,2,29,2018-08-04,0.61,1,0
8309604,Back Bay / South End - best of both,4127253,Jeff,,South End,42.34664,-71.07399,Entire home/apt,290,2,1,2015-09-27,0.02,1,0
8316068,1 Bedroom ✅ Patio ✅ Full-Kitchen (I),43217109,Javier,,South End,42.3368,-71.07649,Private room,125,1,115,2019-08-09,2.71,6,312
8328203,Whole top floor w/private bathroom!,5610150,Kt,,Brighton,42.34548,-71.16462,Private room,95,3,2,2015-11-25,0.04,2,0
